section,subsection,problem_id,fracas_answer,fracas_nonstandard,multiple_p,p,h,a,include,comment,inference_possible,minimal_layers
4 ELLIPSIS,4.1 VP Ellipsis,148,yes,,1,Has John spoken to Mary? Bill has.,Bill has spoken to Mary.,Yes,,,,
4 ELLIPSIS,4.1 VP Ellipsis,149,yes,,1,John has spoken to Mary. The students have too.,The students have spoken to Mary.,Yes,,,,
4 ELLIPSIS,4.2 Gapping,150,yes,,0,"John went to Paris by car, and Bill by train.",Bill went to Paris by train.,Yes,,,1,"temp, quant, num, def, manner, PARALLEL"
4 ELLIPSIS,4.2 Gapping,151,yes,,0,"John went to Paris by car, and Bill by train to Berlin.",Bill went to Berlin by train.,Yes,,,1,"temp, quant, num, def, manner, PARALLEL"
4 ELLIPSIS,4.2 Gapping,152,yes,,0,"John went to Paris by car, and Bill to Berlin.",Bill went to Berlin by car.,Yes,,,1,"temp, quant, num, def, manner, PARALLEL"
4 ELLIPSIS,4.2 Gapping,153,yes,,0,"John is going to Paris by car, and the students by train.",The students are going to Paris by train.,Yes,,,1,"temp, quant, num, def, manner, PARALLEL"
4 ELLIPSIS,4.2 Gapping,154,yes,,1,John went to Paris by car. Bill by train.,Bill went to Paris by train.,Yes,,,,
4 ELLIPSIS,4.3 One Anaphora,155,yes,,1,John owns a car. Bill owns one too.,Bill owns a car.,Yes,,,,
4 ELLIPSIS,4.3 One Anaphora,156,unknown,,1,John owns a car. Bill owns one too.,There is a car that John and Bill own.,Don't know,,,,
4 ELLIPSIS,4.3 One Anaphora,157,yes,,1,John owns a red car. Bill owns a blue one.,Bill owns a blue car.,Yes,,,,
4 ELLIPSIS,4.3 One Anaphora,158,unknown,,1,John owns a red car. Bill owns a blue one.,Bill owns a red car.,Don't know,,,,
4 ELLIPSIS,4.3 One Anaphora,159,yes,,1,John owns a red car. Bill owns a fast one.,Bill owns a fast car.,Yes,,,,
4 ELLIPSIS,4.3 One Anaphora,160,yes,TRUE,1,John owns a red car. Bill owns a fast one.,Bill owns a fast red car.,"Yes, on one possible reading",,,,
4 ELLIPSIS,4.3 One Anaphora,161,unknown,TRUE,1,John owns a red car. Bill owns a fast one.,Bill owns a fast red car.,"Don't know, on one possible reading",,,,
4 ELLIPSIS,4.3 One Anaphora,162,yes,,1,John owns a fast red car. Bill owns a slow one.,Bill owns a slow red car.,Yes,,,,
4 ELLIPSIS,4.4 Sluicing,163,no,,1,John had his paper accepted. Bill doesn't know why.,Bill knows why John had his paper accepted.,No,,,,
4 ELLIPSIS,4.5 Phrasal Ellipsis,164,yes,,1,John spoke to Mary. And to Sue.,John spoke to Sue.,Yes,,,,
4 ELLIPSIS,4.5 Phrasal Ellipsis,165,yes,,1,John spoke to Mary. On Friday.,John spoke to Mary on Friday.,Yes,,,,
4 ELLIPSIS,4.5 Phrasal Ellipsis,166,yes,,1,John spoke to Mary on Thursday. And on Friday.,John spoke to Mary on Friday.,Yes,,,,
4 ELLIPSIS,4.5 Phrasal Ellipsis,167,no,,1,Twenty men work in the Sales Department. But only one woman.,Two women work in the Sales Department.,No,,,,
4 ELLIPSIS,4.5 Phrasal Ellipsis,168,yes,,1,Five men work part time. And forty five women.,Forty five women work part time.,Yes,,,,
4 ELLIPSIS,4.5 Phrasal Ellipsis,169,yes,TRUE,0,John found Mary before Bill.,John found Mary before Bill found Mary.,"Yes, on one possible reading",?,modality?,1,"temp, quant, num, def, manner, BEFORE"
4 ELLIPSIS,4.5 Phrasal Ellipsis,170,yes,TRUE,0,John found Mary before Bill.,John found Mary before John found Bill.,"Yes, on one possible reading",?,modality?,1,"temp, quant, num, def, manner, BEFORE"
4 ELLIPSIS,4.5 Phrasal Ellipsis,171,yes,,1,John wants to know how many men work part time. And women.,John wants to know how many women work part time.,Yes,,,,
4 ELLIPSIS,4.5 Phrasal Ellipsis,172,yes,,0,"John wants to know how many men work part time, and which.",John wants to know which men work part time.,Yes,?,representable?,1,"temp, quant, num, def, manner, question"
4 ELLIPSIS,4.6 Antecedent Contained Deletion,173,yes,,1,Bill spoke to everyone that John did. John spoke to Mary.,Bill spoke to Mary.,Yes,,,,
4 ELLIPSIS,4.6 Antecedent Contained Deletion,174,unknown,,1,Bill spoke to everyone that John did. Bill spoke to Mary.,John spoke to Mary.,Don't know,,,,
4 ELLIPSIS,4.7 Configurational Effects,175,yes,TRUE,0,"John said Mary wrote a report, and Bill did too.",Bill said Mary wrote a report.,"Yes, on one possible reading/parse",,three events; two interpretations; mod?,1,"temp, quant, num, def, mod, PARALLEL"
4 ELLIPSIS,4.7 Configurational Effects,176,yes,TRUE,0,"John said Mary wrote a report, and Bill did too.",John said Bill wrote a report.,"Yes, on one possible reading/parse",,three events; two interpretations' mod?,1,"temp, quant, num, def, mod, PARALLEL"
4 ELLIPSIS,4.7 Configurational Effects,177,unknown,,0,"John said that Mary wrote a report, and that Bill did too.",Bill said Mary wrote a report.,Don't know,,,,
4 ELLIPSIS,4.7 Configurational Effects,178,yes,,0,"John wrote a report, and Bill said Peter did too.",Bill said Peter wrote a report.,Yes,,three events; mod?,1,"temp, quant, num, def, mod, PARALLEL"
4 ELLIPSIS,4.7 Configurational Effects,179,yes,,1,"If John wrote a report, then Bill did too. John wrote a report.",Bill wrote a report.,Yes,,,,
4 ELLIPSIS,4.7 Configurational Effects,180,yes,,0,"John wanted to buy a car, and he did.",John bought a car.,Yes,,two events,1,"temp, quant, num, def, RESULT"
4 ELLIPSIS,4.7 Configurational Effects,181,unknown,,0,"John needed to buy a car, and Bill did.",Bill bought a car.,Don't know,,,,
4 ELLIPSIS,4.8 Ellipsis and Anaphora,182,yes,TRUE,0,Smith represents his company and so does Jones.,Jones represents Jones' company.,"Yes, on one reading",,two events,1,"temp, quant, num, def, PARALLEL"
4 ELLIPSIS,4.8 Ellipsis and Anaphora,183,yes,TRUE,0,Smith represents his company and so does Jones.,Jones represents Smith's company.,"Yes, on one reading",,two events,1,"temp, quant, num, def, PARALLEL"
4 ELLIPSIS,4.8 Ellipsis and Anaphora,184,unknown,,0,Smith represents his company and so does Jones.,Smith represents Jones' company.,Don't know,,,,
4 ELLIPSIS,4.8 Ellipsis and Anaphora,185,yes,TRUE,0,Smith claimed he had costed his proposal and so did Jones.,Jones claimed he had costed his own proposal.,"Yes, on one reading",,three events,1,"temp, quant, num, def, PARALLEL"
4 ELLIPSIS,4.8 Ellipsis and Anaphora,186,yes,TRUE,0,Smith claimed he had costed his proposal and so did Jones.,Jones claimed he had costed Smith's proposal.,"Yes, on one reading",,three events,1,"temp, quant, num, def, PARALLEL"
4 ELLIPSIS,4.8 Ellipsis and Anaphora,187,yes,TRUE,0,Smith claimed he had costed his proposal and so did Jones.,Jones claimed Smith had costed Smith's proposal.,"Yes, on one reading",,three events,1,"temp, quant, num, def, PARALLEL"
4 ELLIPSIS,4.8 Ellipsis and Anaphora,188,unknown,,0,Smith claimed he had costed his proposal and so did Jones.,Jones claimed Smith had costed Jones' proposal.,Don't know,,,,
4 ELLIPSIS,4.8 Ellipsis and Anaphora,189,yes,TRUE,1,John is a man and Mary is a woman. John represents his company and so does Mary.,Mary represents her own company.,"Yes, on one reading",,,,
4 ELLIPSIS,4.8 Ellipsis and Anaphora,190,yes,TRUE,1,John is a man and Mary is a woman. John represents his company and so does Mary.,Mary represents John's company.,"Yes, on one reading",,,,
4 ELLIPSIS,4.8 Ellipsis and Anaphora,191,yes,,0,"Bill suggested to Frank's boss that they should go to the meeting together, and Carl to Alan's wife.","If it was suggested that Bill and Frank should go together, it was suggested that Carl and Alan should go together.",Yes,,representable?,1,"temp, quant, num, def, modal, manner, CONSEQUENCE"
4 ELLIPSIS,4.8 Ellipsis and Anaphora,192,unknown,,0,"Bill suggested to Frank's boss that they should go to the meeting together, and Carl to Alan's wife.","If it was suggested that Bill and Frank should go together, it was suggested that Carl and Alan's wife should go together.",Don't know,,,,
4 ELLIPSIS,4.8 Ellipsis and Anaphora,193,yes,,0,"Bill suggested to Frank's boss that they should go to the meeting together, and Carl to Alan's wife.","If it was suggested that Bill and Frank's boss should go together, it was suggested that Carl and Alan's wife should go together.",Yes,,representable?,1,"temp, quant, num, def, modal, manner, CONSEQUENCE"
4 ELLIPSIS,4.8 Ellipsis and Anaphora,194,unknown,,0,"Bill suggested to Frank's boss that they should go to the meeting together, and Carl to Alan's wife.","If it was suggested that Bill and Frank's boss should go together, it was suggested that Carl and Alan should go together.",Don't know,,,,
4 ELLIPSIS,4.8 Ellipsis and Anaphora,195,yes,,0,"Bill suggested to Frank's boss that they should go to the meeting together, and Carl to Alan's wife.","If it was suggested that Bill, Frank and Frank's boss should go together, it was suggested that Carl, Alan and Alan's wife should go together.",Yes,,representable?,1,"temp, quant, num, def, modal, manner, CONSEQUENCE"
4 ELLIPSIS,4.9 Ellipsis and Quantification,196,yes,,1,"A lawyer signed every report, and so did an auditor. That is, there was one lawyer who signed all the reports.",There was one auditor who signed all the reports.,Yes,,,,
5 ADJECTIVES,5.1 Affirmative and Non-Affirmative,197,yes,,0,John has a genuine diamond.,John has a diamond.,Yes,1,,1,"temp, quant, num, def"
5 ADJECTIVES,5.1 Affirmative and Non-Affirmative,198,no,TRUE,0,John is a former university student.,John is a university student.,No / don't know,1,non-intersectional adjective,2,"temp, quant, num, def"
5 ADJECTIVES,5.1 Affirmative and Non-Affirmative,199,yes,TRUE,0,John is a successful former university student.,John is successful.,Yes (for a former university student),1,non-intersectional adjective,2,"temp, quant, num, def"
5 ADJECTIVES,5.1 Affirmative and Non-Affirmative,200,unknown,,0,John is a former successful university student.,John is successful.,Don't know,,,,
5 ADJECTIVES,5.1 Affirmative and Non-Affirmative,201,unknown,,0,John is a former successful university student.,John is a university student.,Don't know,,,,
5 ADJECTIVES,5.2 No Comparison Class,202,yes,,0,Every mammal is an animal.,Every four-legged mammal is a four-legged animal.,Yes,,,1,"temp, quant, num, def"
5 ADJECTIVES,5.2 No Comparison Class,203,yes,,0,Dumbo is a four-legged animal.,Dumbo is four-legged.,Yes,,,1,"temp, quant, num, def"
5 ADJECTIVES,5.3 Opposites,204,no,,0,Mickey is a small animal.,Mickey is a large animal.,No,,lexical,2,"temp, quant, num, def"
5 ADJECTIVES,5.3 Opposites,205,no,,0,Dumbo is a large animal.,Dumbo is a small animal.,No,,lexical,2,"temp, quant, num, def"
5 ADJECTIVES,5.3 Opposites,206,unknown,,0,Fido is not a small animal.,Fido is a large animal.,Don't know,,,,
5 ADJECTIVES,5.3 Opposites,207,unknown,,0,Fido is not a large animal.,Fido is a small animal.,Don't know,,,,
5 ADJECTIVES,5.3 Opposites,208,yes,,1,Mickey is a small animal. Dumbo is a large animal.,Mickey is smaller than Dumbo.,Yes,,,,
5 ADJECTIVES,5.3 Opposites,209,no,,1,Mickey is a small animal. Dumbo is a large animal.,Mickey is larger than Dumbo.,No,,,,
5 ADJECTIVES,5.4 Extensional Comparison Classes,210,no,,1,All mice are small animals. Mickey is a large mouse.,Mickey is a large animal.,No,,,,
5 ADJECTIVES,5.4 Extensional Comparison Classes,211,no,,1,All elephants are large animals. Dumbo is a small elephant.,Dumbo is a small animal.,No,,,,
5 ADJECTIVES,5.4 Extensional Comparison Classes,212,yes,,1,All mice are small animals. All elephants are large animals. Mickey is a large mouse. Dumbo is a small elephant.,Dumbo is larger than Mickey.,Yes,,,,
5 ADJECTIVES,5.4 Extensional Comparison Classes,213,undef,TRUE,1,All mice are small animals. Mickey is a large mouse.,Mickey is small.,??: Yes for a mouse; ?? No for an animal,,,,
5 ADJECTIVES,5.5 Extensional and Intensional Comparison Classes,214,yes,,1,All legal authorities are law lecturers. All law lecturers are legal authorities.,All fat legal authorities are fat law lecturers.,Yes,,,,
5 ADJECTIVES,5.5 Extensional and Intensional Comparison Classes,215,unknown,,1,All legal authorities are law lecturers. All law lecturers are legal authorities.,All competent legal authorities are competent law lecturers.,Don't know,,,,
5 ADJECTIVES,5.5 Extensional and Intensional Comparison Classes,216,yes,,0,John is a fatter politician than Bill.,John is fatter than Bill.,Yes,,,1,"temp, quant, num, def, degree"
5 ADJECTIVES,5.5 Extensional and Intensional Comparison Classes,217,unknown,,0,John is a cleverer politician than Bill.,John is cleverer than Bill.,Don't know,,,,
5 ADJECTIVES,5.6 Default Comparison Classes,218,yes,,0,Kim is a clever person.,Kim is clever.,Yes,,,1,"temp, quant, num, def"
5 ADJECTIVES,5.6 Default Comparison Classes,219,unknown,,0,Kim is a clever politician.,Kim is clever.,Don't know,,,,
6 COMPARATIVES,6.1 Phrasal Comparatives,220,yes,,1,The PC-6082 is faster than the ITEL-XZ. The ITEL-XZ is fast.,The PC-6082 is fast.,Yes,,,,
6 COMPARATIVES,6.1 Phrasal Comparatives,221,unknown,,0,The PC-6082 is faster than the ITEL-XZ.,The PC-6082 is fast.,Don't know,,,,
6 COMPARATIVES,6.1 Phrasal Comparatives,222,unknown,,1,The PC-6082 is faster than the ITEL-XZ. The PC-6082 is fast.,The ITEL-XZ is fast.,Don't know,,,,
6 COMPARATIVES,6.1 Phrasal Comparatives,223,no,,1,The PC-6082 is faster than the ITEL-XZ. The PC-6082 is slow.,The ITEL-XZ is fast.,No,,,,
6 COMPARATIVES,6.1 Phrasal Comparatives,224,yes,,1,The PC-6082 is as fast as the ITEL-XZ. The ITEL-XZ is fast.,The PC-6082 is fast.,Yes,,,,
6 COMPARATIVES,6.1 Phrasal Comparatives,225,unknown,,0,The PC-6082 is as fast as the ITEL-XZ.,The PC-6082 is fast.,Don't know,,,,
6 COMPARATIVES,6.1 Phrasal Comparatives,226,unknown,,1,The PC-6082 is as fast as the ITEL-XZ. The PC-6082 is fast.,The ITEL-XZ is fast.,Don't know,,,,
6 COMPARATIVES,6.1 Phrasal Comparatives,227,no,,1,The PC-6082 is as fast as the ITEL-XZ. The PC-6082 is slow.,The ITEL-XZ is fast.,No,,,,
6 COMPARATIVES,6.1 Phrasal Comparatives,228,unknown,,0,The PC-6082 is as fast as the ITEL-XZ.,The PC-6082 is faster than the ITEL-XZ.,Don't know,,,,
6 COMPARATIVES,6.1 Phrasal Comparatives,229,no,,0,The PC-6082 is as fast as the ITEL-XZ.,The PC-6082 is slower than the ITEL-XZ.,No,,lexical,2,"temp, quant, num, def, degree"
6 COMPARATIVES,6.1 Phrasal Comparatives,230,yes,,0,ITEL won more orders than APCOM did.,ITEL won some orders.,Yes,,,1,"temp, quant, num, def, degree"
6 COMPARATIVES,6.1 Phrasal Comparatives,231,unknown,,0,ITEL won more orders than APCOM did.,APCOM won some orders.,Don't know,,,,
6 COMPARATIVES,6.1 Phrasal Comparatives,232,yes,,1,ITEL won more orders than APCOM did. APCOM won ten orders.,ITEL won at least eleven orders.,Yes,,,,
6 COMPARATIVES,6.1 Phrasal Comparatives,233,yes,,0,ITEL won more orders than APCOM.,ITEL won some orders.,Yes,,,1,"temp, quant, num, def, degree"
6 COMPARATIVES,6.1 Phrasal Comparatives,234,unknown,,0,ITEL won more orders than APCOM.,APCOM won some orders.,Don't know,,,,
6 COMPARATIVES,6.1 Phrasal Comparatives,235,yes,,1,ITEL won more orders than APCOM. APCOM won ten orders.,ITEL won at least eleven orders.,Yes,,,,
6 COMPARATIVES,6.1 Phrasal Comparatives,236,yes,,0,ITEL won more orders than the APCOM contract.,ITEL won the APCOM contract.,Yes,,not sure how to represent degree here,?,"temp, quant, num, def, degree"
6 COMPARATIVES,6.1 Phrasal Comparatives,237,yes,,0,ITEL won more orders than the APCOM contract.,ITEL won more than one order.,Yes,,not sure how to represent degree here,?,"temp, quant, num, def, degree"
6 COMPARATIVES,6.1 Phrasal Comparatives,238,yes,,1,ITEL won twice as many orders than APCOM. APCOM won ten orders.,ITEL won twenty orders.,Yes,,,,
6 COMPARATIVES,6.2 Clausal Complement,239,yes,,0,ITEL won more orders than APCOM lost.,ITEL won some orders.,Yes,,,1,"temp, quant, num, def, degree"
6 COMPARATIVES,6.2 Clausal Complement,240,unknown,,0,ITEL won more orders than APCOM lost.,APCOM lost some orders.,Don't know,,,,
6 COMPARATIVES,6.2 Clausal Complement,241,yes,,1,ITEL won more orders than APCOM lost. APCOM lost ten orders.,ITEL won at least eleven orders.,Yes,,,,
6 COMPARATIVES,6.3 Measure Phrases,242,yes,,1,The PC-6082 is faster than 500 MIPS. The ITEL-ZX is slower than 500 MIPS.,The PC-6082 is faster than the ITEL-ZX.,Yes,,,,
6 COMPARATIVES,6.4 Differential Comparatives,243,yes,,1,ITEL sold 3000 more computers than APCOM. APCOM sold exactly 2500 computers.,ITEL sold 5500 computers.,Yes,,,,
6 COMPARATIVES,6.5 Attributive Comparatives,244,yes,TRUE,0,APCOM has a more important customer than ITEL.,APCOM has a more important customer than ITEL is.,"Yes, on one reading of the premise",,,1,"temp, quant, num, def, degree"
6 COMPARATIVES,6.5 Attributive Comparatives,245,yes,TRUE,0,APCOM has a more important customer than ITEL.,APCOM has a more important customer than ITEL has.,"Yes, on one reading of the premise",,,1,"temp, quant, num, def, degree"
6 COMPARATIVES,6.6 Comparatives and Quantifiers,246,yes,,1,The PC-6082 is faster than every ITEL computer. The ITEL-ZX is an ITEL computer.,The PC-6082 is faster than the ITEL-ZX.,Yes,,,,
6 COMPARATIVES,6.6 Comparatives and Quantifiers,247,unknown,,1,The PC-6082 is faster than some ITEL computer. The ITEL-ZX is an ITEL computer.,The PC-6082 is faster than the ITEL-ZX.,Don't know,,,,
6 COMPARATIVES,6.6 Comparatives and Quantifiers,248,yes,,1,The PC-6082 is faster than any ITEL computer. The ITEL-ZX is an ITEL computer.,The PC-6082 is faster than the ITEL-ZX.,Yes,,,,
6 COMPARATIVES,6.6 Comparatives and Quantifiers,249,yes,,0,The PC-6082 is faster than the ITEL-ZX and the ITEL-ZY.,The PC-6082 is faster than the ITEL-ZX.,Yes,,,1,"temp, quant, num, def, degree"
6 COMPARATIVES,6.6 Comparatives and Quantifiers,250,yes,TRUE,0,The PC-6082 is faster than the ITEL-ZX or the ITEL-ZY.,The PC-6082 is faster than the ITEL-ZX.,"Yes, on one reading of the premise",,,1,"temp, quant, num, def, degree"
7 TEMPORAL REFERENCE,7.1 Standard Use of Tenses,251,yes,,0,ITEL has a factory in Birmingham.,ITEL currently has a factory in Birmingham.,Yes,,temporal knowledge,2,"temp, quant, num, def"
7 TEMPORAL REFERENCE,7.1 Standard Use of Tenses,252,yes,,1,Since 1992 ITEL has been in Birmingham. It is now 1996.,Itel was in Birmingham in 1993.,Yes,,,,
7 TEMPORAL REFERENCE,7.1 Standard Use of Tenses,253,unknown,,1,ITEL has developed a new editor since 1992. It is now 1996.,ITEL developed a new editor in 1993.,Don't know,,,,
7 TEMPORAL REFERENCE,7.1 Standard Use of Tenses,254,unknown,,1,ITEL has expanded since 1992. It is now 1996.,ITEL expanded in 1993.,Don't know,,,,
7 TEMPORAL REFERENCE,7.1 Standard Use of Tenses,255,yes,,1,Since 1992 ITEL has made a loss. It is now 1996.,ITEL made a loss in 1993.,Yes,,,,
7 TEMPORAL REFERENCE,7.1 Standard Use of Tenses,256,unknown,TRUE,1,ITEL has made a loss since 1992. It is now 1996.,ITEL made a loss in 1993.,"Don't know, on one reading of the premise",,,,
7 TEMPORAL REFERENCE,7.1 Standard Use of Tenses,257,yes,TRUE,1,ITEL has made a loss since 1992. It is now 1996.,ITEL made a loss in 1993.,"Yes, on one reading of the premise",,,,
7 TEMPORAL REFERENCE,7.1 Standard Use of Tenses,258,no,,0,In March 1993 APCOM founded ITEL.,ITEL existed in 1992.,No,,lexical,2,"temp, quant, num, def"
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,259,yes,,1,"The conference started on July 4th, 1994. It lasted 2 days.","The conference was over on July 8th, 1994.",Yes,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,260,yes,,1,"Yesterday APCOM signed the contract. Today is Saturday, July 14th.","APCOM signed the contract Friday, 13th.",Yes,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,261,yes,,1,Smith left before Jones left. Jones left before Anderson left.,Smith left before Anderson left.,Yes,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,262,yes,,1,Smith left after Jones left. Jones left after Anderson left.,Smith left after Anderson left.,Yes,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,263,unknown,,1,Smith was present after Jones left. Jones left after Anderson was present.,Smith was present after Anderson was present.,Don't know,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,264,yes,,1,Smith left. Jones left. Smith left before Jones left.,Jones left after Smith left.,Yes,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,265,yes,,1,Smith left. Jones left. Smith left after Jones left.,Jones left before Smith left.,Yes,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,266,yes,,1,Smith left. Jones left. Jones left before Smith left.,Smith left after Jones left.,Yes,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,267,yes,,1,Jones revised the contract. Smith revised the contract. Jones revised the contract before Smith did.,Smith revised the contract after Jones did.,Yes,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,268,yes,,1,Jones revised the contract. Smith revised the contract. Jones revised the contract after Smith did.,Smith revised the contract before Jones did.,Yes,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,269,unknown,,1,Smith swam. Jones swam. Smith swam before Jones swam.,Jones swam after Smith swam.,Don't know,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,270,yes,,1,Smith swam to the shore. Jones swam to the shore. Smith swam to the shore before Jones swam to the shore.,Jones swam to the shore after Smith swam to the shore.,Yes,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,271,unknown,,1,Smith was present. Jones was present. Smith was present after Jones was present.,Jones was present before Smith was present.,Don't know,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,272,unknown,,1,Smith was present. Jones was present. Smith was present before Jones was present.,Jones was present after Smith was present.,Don't know,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,273,unknown,,1,Smith was writing a report. Jones was writing a report. Smith was writing a report before Jones was writing a report.,Jones was writing a report after Smith was writing a report.,Don't know,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,274,unknown,,1,Smith was writing a report. Jones was writing a report. Smith was writing a report after Jones was writing a report.,Jones was writing a report before Smith was writing a report.,Don't know,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,275,unknown,,0,Smith left the meeting before he lost his temper.,Smith lost his temper.,Don't know,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,276,undef,TRUE,0,"When they opened the M25, traffic increased.",,,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,277,unknown,,0,Smith lived in Birmingham in 1991.,Smith lived in Birmingham in 1992.,Don't know,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,278,no,,0,Smith wrote his first novel in 1991.,Smith wrote his first novel in 1992.,No,,temporal knowledge,2,"temp, quant, num, def"
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,279,no,,0,Smith wrote a novel in 1991.,Smith wrote it in 1992.,No,0,anaphora,1,"temp, quant, num, def"
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,280,unknown,,0,Smith wrote a novel in 1991.,Smith wrote a novel in 1992.,Don't know,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,281,unknown,,0,Smith was running a business in 1991.,Smith was running it in 1992.,Don't know,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,282,no,,0,Smith discovered a new species in 1991.,Smith discovered it in 1992.,No,0,anaphora,1,"temp, quant, num, def"
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,283,unknown,,0,Smith discovered a new species in 1991.,Smith discovered a new species in 1992.,Don't know,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,284,yes,,1,Smith wrote a report in two hours. Smith started writing the report at 8 am.,Smith had finished writing the report by 11 am.,Yes,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,285,unknown,,0,Smith wrote a report in two hours.,Smith spent two hours writing the report.,Don't know,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,286,no,,0,Smith wrote a report in two hours.,Smith spent more than two hours writing the report.,No,,,1,"temp, quant, num, def, duration, aspect"
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,287,unknown,,0,Smith wrote a report in two hours.,Smith wrote a report in one hour.,Don't know,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,288,yes,,0,Smith wrote a report in two hours.,Smith wrote a report.,Yes,,,1,"temp, quant, num, def, duration"
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,289,no,,0,Smith discovered a new species in two hours.,Smith spent two hours discovering the new species.,No,,,1,"temp, quant, num, def, duration, aspect"
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,290,yes,,0,Smith discovered a new species in two hours.,Smith discovered a new species.,Yes,,,1,"temp, quant, num, def, duration"
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,291,yes,TRUE,0,Smith discovered many new species in two hours.,Smith spent two hours discovering new species.,?Yes,,,1,"temp, quant, num, def, duration, aspect"
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,292,unknown,,0,Smith was running his own business in two years.,Smith spent two years running his own business.,Don't know,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,293,unknown,,0,Smith was running his own business in two years.,Smith spent more than two years running his own business.,Don't know,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,294,yes,,0,Smith was running his own business in two years.,Smith ran his own business.,Yes,,duration? temp?,1,"temp, quant, num, def, duration"
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,295,unknown,,0,In two years Smith owned a chain of businesses.,Smith owned a chain of business for two years.,Don't know,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,296,unknown,,0,In two years Smith owned a chain of businesses.,Smith owned a chain of business for more than two years.,Don't know,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,297,yes,,0,In two years Smith owned a chain of businesses.,Smith owned a chain of business.,Yes,,duration? temp?,1,"temp, quant, num, def, duration"
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,298,yes,,0,Smith lived in Birmingham for two years.,Smith lived in Birmingham for a year.,Yes,,at least 1 year,1,"temp, quant, num, def, duration, loc"
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,299,no,,0,Smith lived in Birmingham for two years.,Smith lived in Birmingham for exactly a year.,No,,exactly 1 year,1,"temp, quant, num, def, duration, loc"
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,300,yes,,0,Smith lived in Birmingham for two years.,Smith lived in Birmingham.,Yes,,,1,"temp, quant, num, def, duration, loc"
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,301,yes,,0,Smith ran his own business for two years.,Smith ran his own business for a year.,Yes,,at least 1 year,1,"temp, quant, num, def, duration"
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,302,yes,,0,Smith ran his own business for two years.,Smith ran his own business.,Yes,,,1,"temp, quant, num, def, duration"
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,303,yes,,0,Smith wrote a report for two hours.,Smith wrote a report for an hour.,Yes,,at least 1 hour,1,"temp, quant, num, def, duration"
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,304,unknown,,0,Smith wrote a report for two hours.,Smith wrote a report.,Don't know,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,305,undef,TRUE,0,Smith discovered a new species for an hour.,,,,,,
7 TEMPORAL REFERENCE,7.2 Temporal Adverbials,306,yes,,0,Smith discovered new species for two years.,Smith discovered new species.,Yes,,,1,"temp, quant, num, def, duration, aspect"
